4951,Company,Industry,Industry-Sub,Location,Year,Notes/References,Glassdoor Overall Star Rating (out of 5),Glassdoor Reviews Total,Indeed Overall Star Rating (out of 5),Indeed Reviews Total,Comparably Overall Star Rating,Comparably Reviews Total,,,,
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",1999,"Glassdoor source: https://www.glassdoor.com/Reviews/First-Solar-Reviews-E41703.htm
Indeed source: https://www.indeed.com/cmp/First-Solar-1/reviews
Comparably source: https://www.comparably.com/companies/first-solar",3.9,550,3.9,623,4.3,402,,,,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903,"Glassdoor source: https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm
Indeed source:  https://www.indeed.com/cmp/Ford-Motor-Company/reviews
Comparably source: https://www.comparably.com/companies/ford-motor-company",4,9353,4.1,9148,3.5,7896,,,,
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000,"Glassdoor source: https://www.glassdoor.com/Reviews/Fortinet-Reviews-E23128.htm
Indeed source: https://www.indeed.com/cmp/Fortinet/reviews
Comparably source: https://www.comparably.com/companies/fortinet",4.1,2176,3.7,167,4.4,1840,,,,
FOXA,Fox Corporation ,Communication Services,Broadcasting,"New York City, New York",2019,"(No available info on Fox Corporation Class A  & Fox Corporation Class B, so merged into single observation Fox Corporation) 

Glassdoor source: https://www.glassdoor.com/Reviews/Fox-Corporation-Reviews-E2938629.htm
Indeed source:  https://www.indeed.com/cmp/Fox-Corporation/reviews?start=120
Comparably source: https://www.comparably.com/companies/fox",3.8,149,3.9,731,4.7,399,,,,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989,"Glassdoor source: https://www.glassdoor.com/Reviews/Garmin-Reviews-E12667.htm
Indeed source: https://www.indeed.com/cmp/Garmin/reviews
Comparably source: https://www.comparably.com/companies/garmin-international",4,1441,3.7,372,4.6,918,,,,
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979,"Glassdoor source: https://www.glassdoor.com/Reviews/Gartner-Reviews-E2465.htm
Indeed source: https://www.indeed.com/cmp/Gartner/reviews
Comparably source: https://www.comparably.com/companies/gartner",4.1,7207,3.7,649,4.5,6581,,,,
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",1982,"(Gen Digital, formerly NortonLifeLock & Symantec. Sources found under Symantec Corp.)

Glassdoor source: https://www.glassdoor.com/Reviews/Symantec-Reviews-E3308959.htm
Indeed source: https://www.indeed.com/cmp/Symantec-Broadcom/reviews
Comparably source: https://www.comparably.com/companies/symantec",3.9,613,3.4,8,3.2,1388,,,,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856,"Glassdoor source: https://www.glassdoor.com/Reviews/General-Mills-Reviews-E278.htm
Indeed source: https://www.indeed.com/cmp/General-Mills/reviews
Comparably source: https://www.comparably.com/companies/general-mills-in",4.1,3369,3.9,2909,4.5,4222,,,,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908,"Glassdoor source: https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm
Indeed source: https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm
Comparably source: https://www.comparably.com/companies/general-motors",3.9,9340,4,10582,3.5,10750,,,,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1925,"Glassdoor source: https://www.glassdoor.com/Reviews/Genuine-Parts-Company-Reviews-E282.htm
Indeed source: https://www.indeed.com/cmp/Genuine-Parts-Company/reviews
Comparably source: https://www.comparably.com/companies/genuine-parts-company",3.3,422,3.4,310,3.3,473,,,,
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923,"Glassdoor source: https://www.glassdoor.com/Reviews/Hasbro-Reviews-E890.htm
Indeed source: https://www.indeed.com/cmp/Hasbro,-Inc./reviews
Comparably source: https://www.comparably.com/companies/hasbro",3.5,866,4.1,656,4.5,766,,,,
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894,"Glassdoor source: https://www.glassdoor.com/Reviews/The-Hershey-Company-Reviews-E326.htm
Indeed source: https://www.indeed.com/cmp/The-Hershey-Company/reviews
Comparably source: https://www.comparably.com/companies/hershey-company",3.8,1525,3.7,973,4.2,1586,,,,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015,"Glassdoor source: https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm
Indeed source: https://www.indeed.com/cmp/Hewlett-Packard-Enterprise-Hpe-3
Comparably source: https://www.comparably.com/companies/hpe",4.1,15057,3.8,2560,3.1,5853,,,,
